Topic area,Label_1,Definition
Commercial activities,Vacant office space (m2),"Vacant office space (m2)











Numbers are only available for areas with at least 10 objects."
Commercial activities,Vacancy rate office space (%m2),"Percentage of vacant office space (%m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Small-scale office space stock (objects),Number of small-scale office spaces
Commercial activities,Vacant small-scale office space (objects),Number of vacant small-scale office spaces
Commercial activities: Retail,"number of sales points per area where other items (including second-hand products, smart shop items, souvenirs, erotics) are sold","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"number of points of sale per area where leisure items (including books, magazines) are sold","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"number of points of sale per area of ​​service providers (including hairdressers, bicycle rental, beauty salons and real estate agents)","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"number of hotels, restaurants, cafes per area","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"number of institutions in the field of culture and entertainment (including museums, theaters, gaming halls, attractions, gyms)","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,number of vacant points of sale,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail floor area in m2 of the number of points of sale per area,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail floor area in m2 of the number of points of sale per area where daily products (food) are sold,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail floor area in m2 of the number of points of sale per area of ​​coffee shops,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of sales points per area where other items (including second-hand products, smart shop items, souvenirs, erotica) are sold","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of points of sale per area where fashion items (clothing and shoes) and luxury items (jewelry, cosmetics) are sold","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of points of sale per area where household items and home, interior and garden items are sold","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of points of sale per area where leisure items (including books, magazines) are sold","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of points of sale per area of ​​service providers (including hairdressers, bicycle rental, beauty salons and real estate agents)","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of institutions in the field of culture and entertainment (including museums, theaters, game halls, attractions, gyms)","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,"retail floor area in m2 of the number of hotels, restaurants, cafes per area","Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail floor area in m2 of the number of vacant points of sale,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail space daily products (food) / 1.000 residents,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail space total / 1.000 residents,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail floor area daily products (food) / 1.000 residents,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,retail floor area / 1.000 residents,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities: Retail,Food shops (1-10),"Average answer to the question: 



What is your opinion on the availability of food shops in your neighbourhood? 1 = very insufficient and 10 = very sufficient 







Until 2015 this question was about shops in general. 



Numbers are only available for areas with at least 20 respondents."
Commercial activities: Retail,Food shops 65+ (1-10),"Average answer by people of 65 and older to the question: 



What is your opinion on the availability of food shops in your neighbourhood? 1 = very insufficient and 10 = very sufficient 







Until 2015 this question was about shops in general. 



Numbers are only available for areas with at least 20 respondents."
Commercial activities: Retail,Rating of the variety of daytime dining options in the shopping area,Rating of the variety of daytime dining options in the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities: Retail,Rating of the overall price level in the shopping area,Rating of the overall price level in the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities: Retail,Rating of the general accessibility of the shopping area,Rating of the general accessibility of the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities: Retail,Rating of the availability of organic and sustainable products in food stores in the shopping area,Rating of the availability of organic and sustainable products in food stores in the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities: Retail,Rating of the diverse range of food stores in the shopping area,Rating of the diverse range of food stores in the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities: Retail,Rating of the diverse range of non-food stores in the shopping area,Rating of the diverse range of non-food stores in the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities: Retail,Rating of the sustainable non-food product offerings in the shopping area,Rating of the sustainable non-food product offerings in the shopping area - ratings (1 is very poor - 10 is excellent): Reporting is only done for areas with at least 20 respondents
Commercial activities,Small-scale office space stock (m2),"Number m2 small-scale office space







Numbers are only available for areas with at least 10 objects."
Commercial activities,Vacant small-scale office space (m2),"Vacant small-scale office space (m2)







Numbers are only available for areas with at least 10 objects."
Commercial section,"Companies A: agriculture, forestry and fishery","Number of companies registered under section code A: agriculture, forestry and fishery.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies B: mining,"Number of companies registered under section code B: mining







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies C: industry,"Number of companies registered under section code C: industry







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies D: power company,"Number of companies registered under section code D: power company







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies E: water extraction and waste processing,"Number of companies registered under section code E: water extraction and waste processing







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies F: construction industry,"Number of companies registered under section code F: construction industry







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies G1: wholesale,"Number of companies registered under section code G1: wholesale







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies G2: retail,"Number of companies registered under section code G2: retail







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies H: transport and logistics,"Number of companies registered under section code H: transport and logistics







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies I: catering,"Number of companies registered under section code  I: catering







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies J: information and communication,"Number of companies registered under section code J: information and communication







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies K: financial industry,"Number of companies registered under section code K: financial industry







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,"Companies L: trade, rental real estate","Number of companies registered under section code L: trade, rental real estate







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies M: consultancy and research,"Number of companies registered under section code M: consultancy and research







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies N: other business services,"Number of companies registered under section code  N: other business services







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies O: government,"Number of companies registered under section code O: government







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies P: education,"Number of companies registered under section code P: education







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies Q: health care and welfare,"Number of companies registered under section code Q: health care and welfare







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,"Companies R: culture, sports and recreation","Number of companies registered under section code R: culture, sports and recreation







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies S: other services,"Number of companies registered under section code S: other services







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Companies U: extraterritorial organizations,"Number of companies registered under section code U: extraterritorial organizations







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,"% Companies A: agriculture, forestry and fishery","Percentage of companies registered under section code A: agriculture, forestry and fishery.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial activities,Vacancy rate small-scale office space (%m2),"Percentage of small-scale office space (%m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Business premises stock (objects),Number of business premises
Commercial activities,Vacant business premises (objects),Number of vacant business premises
Commercial activities,Business premises stock (m2),"Business premises stock (m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Vacant business premises (m2),"Vacant business premises (m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Vacancy rate business premises (% m2),"Percentage of business premises without a user (% m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Small-scale business premises stock (objects),Small-scale business premises stock (objects)
Commercial activities,Vacant small-scale business premises (objects),Vacant small-scale business premises (objects)
Commercial activities,Small-scale business premises stock  (m2),"Small-scale business premises stock  (m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Vacant small-scale business premises (m2),"Vacant small-scale business premises (m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,Vacant small-scale business premises (m2),"Vacant small-scale business premises (m2)







Numbers are only available for areas with at least 10 objects."
Commercial activities,"Catering per 1,000 inhabitants","Number of companies in the catering industry per 1,000 inhabitants."
Commercial activities,Catering (1-10),"What is your opinion on the availability of catering (hotel, restaurants and pubs) in your neighbourhood? 1 = very insufficient and 10 = very sufficient 







Numbers are only available for areas with at least 20 respondents."
Commercial activities,Hotels,"Number of hotels, based on the hotel registration"
Commercial activities,Hotel rooms,Number of hotel rooms
Commercial category,Office: companies total,"Number of companies in the main category 'Office'



These are companies registered as banks, insurance companies, other services and other offices.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Retail: companies total,"Number of companies in the main category 'Retail'







Retail: retail in food and other retail (codes 47 (except 479) and 45194, 74202, 7722, 77292, 96021 and 96022).







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Facilities: companies total,"Number of companies in the main category 'Facilities'







These companies are registered as police, fire brigade, education, health care, welfare, culture, sports and registration.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Catering: companies total,"Number of companies in the main category 'Catering'



These are companies registered as hotels, restaurants, bars and other catering.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial activities,Hotel beds,Number of hotel beds
Commercial activities,Hotel beds per 1.000 inhabitants,"Number of hotel beds on the reference date July 1st per 1,000 inhabitants at January 1st"
Commercial activities,Airbnb listings,Number of Airbnb listings (houses or rooms) that were at least once offered on the airbnb platform.
Commercial activities,Airbnb listings per 1.000 houses,Number of Airbnb listings (houses or rooms) that were at least once offered on the airbnb platform per 1.000 houses.
Commercial activities,Hotels (KvK),"Number of hotels based on the registration of the chamber of commerce







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Business: companies total,"Number of companies in the main category 'Business'



These are companies registered as industry, construction, maintenance, trade, transport, storage, telecommunication, media- and film production and other companies.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Other: companies total,"Number of companies in the main category 'Other'



These are companies registered as agriculture, fishery, mining and other.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Office: companies total (%),"Percentage of companies in the main category 'Office'



These are companies registered as banks, insurance companies, other services and other offices.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Retail: companies total (%),"Percentage of companies in the main category 'Retail' 



These are companies registered as retail in food and other retail (codes 47 (except 479) and 45194, 74202, 7722, 77292, 96021 and 96022).







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Facilities: companies total (%),"Percentage of companies in the main category 'Facilities'



These companies are registered as police, fire brigade, education, health care, welfare, culture, sports and registration.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Catering: companies total (%),"Percentage of companies in the main category 'Catering'



These are companies registered as hotels, restaurants, bars and other catering.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial activities,Catering: restaurants,"Number of companies registered as a restaurant







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial activities,"Catering: snack bars, ice cream parlours","Number of companies registered as snack bar or ice-cream parlour







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Business: companies total (%),"Percentage of companies in the main category 'Business'



These are companies registered as industry, construction, maintenance, trade, transport, storage, telecommunication, media- and film production and other companies.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Other: companies total (%),"Percentage of companies in the main category 'Other'



These are companies registered as agriculture, fishery, mining and other.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Office: companies bank,"Number of companies in the subcategory 'Bank'



These are companies that are registered as financial institutions (code 64). 







The subcategory is part of the main category 'Office'.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Office: companies insurance,"Number of companies in the subcategory 'Insurance'.



These are companies that are registered as Insurance companies and (non mandatory) pension funds (code 65) and guarantee funds (66293)







The subcategory is part of the main category 'Office'.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Office: companies business services,"Number of companies in the subcategory 'Business services'







The subcategory is part of the main category 'Office'.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Office: companies other,"Number of companies in the subcategory 'Other offices'







The subcategory is part of the main category 'Office'.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Retail: companies food,"Number of companies in the subcategory 'Retail food'







The subcategory is part of the main category 'Retail'.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial category,Retail: companies non-food,"Number of companies in the subcategory 'Retail non-food'







The subcategory is part of the main category 'Retail'.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
